problem_id,avg_acc_len,accept_rate,total_steps,status
prob_0010,1.1413639328080658,0.23458172122476778,56733,success
prob_0011,1.14886353586274,0.2425083075084942,56535,success
prob_0012,1.141230590267374,0.23663341007930416,56737,success
prob_0013,1.1535843437566475,0.23591680774933568,56412,success
prob_0014,1.1415526724016358,0.24402265456313094,56728,success
prob_0015,1.143404082640837,0.24523953681979868,56679,success
prob_0016,1.1482175696703918,0.23879993233254143,56552,success
prob_0017,1.1451071794328496,0.2428759217577907,56634,success
prob_0018,1.1434620745628739,0.24243512481249135,56677,success
prob_0019,1.320022916069894,0.2465447074727054,52365,success
prob_0020,1.1530145677524546,0.23886800211478587,56426,success
prob_0021,1.142590077776406,0.2449413223640433,56701,success
prob_0022,1.1447839980227037,0.2426750996425965,56643,success
prob_0023,1.1402321935063333,0.24582773106051975,56763,success
prob_0024,1.1509941748260415,0.2374337996274517,56479,success
prob_0025,1.141041908991576,0.24076112420886664,56742,success
prob_0026,1.1462414981008744,0.23958864148295853,56605,success
prob_0027,1.1474378236968166,0.23813087403429226,56573,success
prob_0028,1.1412330795262267,0.24337520579147967,56736,success
prob_0029,1.1430637877504939,0.24363630894639085,56688,success
