problem_id,avg_acc_len,accept_rate,total_steps,status
prob_0000,1.1425522909244823,0.2433723896212203,56702,success
prob_0001,1.1408733655235612,0.2380698470601646,56746,success
prob_0002,1.141816963734772,0.2350603393521459,56721,success
prob_0003,1.14257244140315,0.2435105207370154,56701,success
prob_0004,1.1451071794328496,0.2461746362535539,56634,success
prob_0005,1.139533655031524,0.2410435223162231,56782,success
prob_0006,1.1405539697642455,0.2443444550557344,56754,success
prob_0007,1.1613058174702011,0.2356698016138058,56210,success
prob_0008,1.142685809023246,0.2463909213989077,56698,success
prob_0009,1.149621346167457,0.2416870329245202,56516,success
prob_0010,1.1413639328080658,0.2345817212247677,56733,success
prob_0011,1.14886353586274,0.2425083075084942,56535,success
prob_0012,1.141230590267374,0.2366334100793041,56737,success
prob_0013,1.1535843437566475,0.2359168077493356,56412,success
prob_0014,1.1415526724016358,0.2440226545631309,56728,success
prob_0015,1.143404082640837,0.2452395368197986,56679,success
prob_0016,1.1482175696703918,0.2387999323325414,56552,success
prob_0017,1.1451071794328496,0.2428759217577907,56634,success
prob_0018,1.143462074562874,0.2424351248124913,56677,success
prob_0019,1.320022916069894,0.2465447074727054,52365,success
prob_0020,1.1530145677524546,0.2388680021147858,56426,success
prob_0021,1.142590077776406,0.2449413223640433,56701,success
prob_0022,1.1447839980227037,0.2426750996425965,56643,success
prob_0023,1.140232193506333,0.2458277310605197,56763,success
prob_0024,1.1509941748260415,0.2374337996274517,56479,success
prob_0025,1.141041908991576,0.2407611242088666,56742,success
prob_0026,1.1462414981008744,0.2395886414829585,56605,success
prob_0027,1.1474378236968166,0.2381308740342922,56573,success
prob_0028,1.1412330795262269,0.2433752057914796,56736,success
prob_0029,1.143063787750494,0.2436363089463908,56688,success
