problem_id,avg_acc_len,accept_rate,total_steps,status
prob_0000,1.1425522909244823,0.24337238962122038,56702,success
prob_0001,1.1408733655235612,0.23806984706016468,56746,success
prob_0002,1.141816963734772,0.2350603393521459,56721,success
prob_0003,1.14257244140315,0.2435105207370154,56701,success
prob_0004,1.1451071794328496,0.24617463625355396,56634,success
prob_0005,1.139533655031524,0.24104352231622317,56782,success
prob_0006,1.1405539697642457,0.24434445505573443,56754,success
prob_0007,1.1613058174702011,0.2356698016138058,56210,success
prob_0008,1.142685809023246,0.24639092139890778,56698,success
prob_0009,1.149621346167457,0.24168703292452023,56516,success
